titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
La France dans le monde;Spécial anniversaire 10 ans;Revue;Collectif;Paris;La Documentation française;2013;;1761-7146;Français;199 P.;QUESTIONS INTERNATIONALES;N°61-62;83 COL;FRANCE/MONDE/DIPLOMATIE/DIPLOMATIE FRANCAISE/POLITIQUE ETRANGERE/DECLIN ECONOMIQUE/NUCLEAIRE/FRANCOPHONIE/INTERNET/EUROPE/RELATIONS INTERNATIONALES/ETATS UNIS/MONDIALISATION/MONTENEGRO/UNION EUROPEENNE;;;;2019-01-22
Prospective 2015-2025;L'après- modernité;Ouvrage;HALEVY Marc;Toulouse;Dangles;2013;978-2-7033-1017-4;;;235 p.;PROSPECTIVE;;41 HAL;ECONOMIE/PROSPECTIVE/MODELE/MODELE ECONOMIQUE/DECROISSANCE ECONOMIQUE/SOCIOECONOMIE/ECONOMIE MODERNE/2015/2025/SOCIETE/MODERNITE/ECOLOGIE;;;;2014-11-04
La démocratie de proximité;Bilan et perspectives de la loi du 27 février 2002, dix ans après;Ouvrage;;Paris;BERGER LEVRAULT;2013;978-2-7013-1814-1;;Français;"238&uml;P.";;;2112 GUG;ADMINISTRATION/POLITIQUE/DEMOCRATIE/DEMOCRATIE LOCALE/DEMOCRATIE DE PROXIMITE/LOI/DECENTRALISATION/ELU LOCAL/FORMATION DES ELUS/LOI DU 27 FEVRIER 2002/INTERCOMMUNALITE/TRANSFERT DE COMPETENCES/SERVICE PUBLIC LOCAL;;;;2014-05-03
Pays de la Loire 2040, c'est maintenant;;Revue;;Nantes;Association Mémoire et débats;2013;978-2-84809-227-0;;Français;63 p.;PLACE PUBLIQUE;;2452 COL;PAYS DE LA LOIRE/REGION DES PAYS DE LA LOIRE/PROSPECTIVE/PROSPECTIVE REGIONALE/PLAN STRATEGIQUE/ACTION PUBLIQUE/2040/AUXIETTE JACQUES;;;;2014-07-01
Guide de l'apprenti;;Ouvrage;Ministère du travail, de l'Emploi, de la formation professionnelle et du dialogue social;Paris;La documentation française;2014;978-2-11-009784-2;;Français;205 p.;Les indispensables jeunes;;530 MIN;APPRENTISSAGE/FORMATION EN ALTERNANCE/ALTERNANCE/CFA/ETUDIANT/TRAVAIL;;;;2015-09-04
A  quoi servent les partis politiques ?;;Dossier;Collectif;Paris;Seuil;2013;979-10-902701-9-0;;Français;P.16-126;ESPRIT;;2122 COL;POLITIQUE/PARTI POLITIQUE/DEMOCRATIE/MILITANT;;;;2013-10-17
Femmes-hommes, l'égalité en action;;Ouvrage;Collectif;Paris;Alternatives Economiques;2013;2-352-40086-4;;Français;128 p.;ALTERNATIVES ECONOMIQUES POCHE;N°63;13 COL;SCIENCES HUMAINES/POPULATION/FEMME/DISPARITE HOMME/FEMME/HOMME/MIXITE/MIXITE SOCIALE/TRAVAIL/TRAVAIL FEMININ/PENSION DE REVERSION/REMUNERATION/DISCRIMINATION/DISCRIMINATION SEXUELLE/ENFANT/GARDE DES ENFANTS/POLITIQUE DE LA FAMILLE/PETITE ENFANCE/MANUEL SCOLAIRE/INEGALITE PROFESSIONNELLE;;;;2013-01-10
L'autonomie des jeunes;Questions politiques et sociologiques sur les mondes étudiants;Ouvrage;CICCHELLI Vincenzo/;Paris;La Documentation française;2013;978-2-11-009210-6;;Français;215 p.;PANORAMA DES SAVOIRS;;141 CIC;POPULATION/JEUNE/ETUDIANT/SOCIOLOGIE/JEUNESSE/INTEGRATION SOCIALE/AUTONOMIE;;;;2013-07-15
La fabrique de l'innovation sociale;;Revue;Collectif;Paris;Alternatives Economiques;2013;;2117-8747;Français;112 p.;ALTERNATIVES ECONOMIQUES POCHE;N°62;41 COL;ECONOMIE/COMMERCE/SERVICES/ECONOMIE SOCIALE;;;;2013-08-23
Droit constitutionnel;A jour août 2012;Ouvrage;CHANTEBOUT Bernard;Paris;Sirey;2012;978-2-247-12083-3;;Français;656 p.;UNIVERSITE;;221 CHA;ADMINISTRATION/DROIT/DROIT CONSTITUTIONNEL/CONSTITUTION/ETAT/POLITIQUE/POUVOIR POLITIQUE/REGIME POLITIQUE/DEMOCRATIE/INSTITUTIONS/PARLEMENT/PRESIDENT DE LA REPUBLIQUE/POUVOIR EXECUTIF/EXECUTIF/CONSTITUTIONNALITE/CONTROLE DE LA CONSTITUTIONNALITE/NORME/CONCOURS/CONCOURS ADMINISTRATIF;;;;2013-06-20
Le dictionnaire des médaillés olympiques français;Les 1067 Français médaillés depuis 1896;Dictionnaire;GACHET Stéphane;Le Rheu;La maison d'éditions LME;2011;978-2-36026-026-3;;Français;P.415;;;63 GAC;JEUX OLYMPIQUES/FRANCE/INFORMATION STATISTIQUE/CHIFFRES-CLES/SPORT/SPORT DE COMPETITION;;;;2013-05-06
L' Université française : une nouvelle autonomie, un nouveau management;;Ouvrage;BALME Pierre/CYTERMANN Jean-Richard/DELLACASAGRANDE Michel;Grenoble;PUG;2012;978-2-7061-1714-5;;Français;572 p.;;;513 BAL;ENSEIGNEMENT/ENSEIGNEMENT SUPERIEUR/UNIVERSITE/VIE UNIVERSITAIRE/ETUDIANT/RECHERCHE/POLE DE RECHERCHE ET D'ENSEIGNEMENT SUPERIEUR/GESTION/BUDGET/RECHERCHE UNIVERSITAIRE/FORMATION;;;;2013-02-14
Une nouvelle organisation décentralisée de la République;;Ouvrage;CREUSOT Sébastien;Paris;LGDJ,Lextenso éditions;2012;978-2-275-03744-8;;Français;225 p.;SYSTEMES;;241 CRE;ADMINISTRATION/ORGANISATION ADMINISTRATIVE/DECENTRALISATION/COLLECTIVITE TERRITORIALE/REFORME TERRITORIALE/PRINCIPE DE LIBRE ADMINISTRATION/DEMOCRATIE/GOUVERNANCE/COMPETENCE/REPARTITION DES COMPETENCES/POLITIQUE PUBLIQUE/MANDAT/CUMUL DES MANDATS;;;;2013-05-13
Le manager éthique;Une philosophie pratique au service de la réussite des hommes et de leurs organisations;Ouvrage;ROUSSEL Marc;;Ethique & performance;2012;978-1-4710-6840-9;;Français;385 p.;ETHIQUE ET PERFORMANCE;;1414 ROU;RESSOURCES HUMAINES/MANAGEMENT/MANAGER/MANAGEMENT STRATEGIQUE/LEADER/STRESS;;;;2013-04-01
Code commenté des marchés publics;Ordonnance n°2015-899 du 23 juillet 2015Décret n° 2016-360 du 25 mars 2016;Code;GUIBAL MICHEL/CHARREL Nicolas;;Editions le Moniteur;2017;978-2-281-13271-7;;Français;1152  p.;;;26121 GUI;CODE/CODE DES MARCHES PUBLICS/MARCHES PUBLICS;;;;2018-04-17
De la mondialisation au cosmopolitisme;;Dossier;CICCHELLI Vincenzo/TRUC Gérôme;Paris;La Documentation française;2011;;0015-9743;Français;176 p.;PROBLEMES POLITIQUES ET SOCIAUX;N°986-987;14 CIC;SOCIETE/MONDIALISATION/DELOCALISATION/COSMOPOLITISME/METISSAGE/KANT/BECK/MOBILITE/MOBILITE GEOGRAPHIQUE/SOCIOLOGIE/INTERNATIONALISATION;;;;2012-01-16
Guide pratique du droit d'auteur;;Ouvrage;STERIN Anne-Laure;Paris;Maxima Laurent du Mesnil;2011;978-2-84001-587-1;;Français;543 p.;;;61 STE;CULTURE/AUTEUR/DROIT D'AUTEUR/IMAGE/DROIT A L'IMAGE/TEXTE/MUSIQUE/PHOTOGRAPHE/PHOTOGRAPHIE/FILM/INTERNET/LOGICIEL/BASE DE DONNEES/SITE WEB/PROTECTION DES OEUVRES/PROTECTION DES DONNEES/CREATION/CREATION ARTISTIQUE/CREATION CULTURELLE/PROPRIETE INTELLECTUELLE/PROPRIETE LITTERAIRE ET ARTISTIQUE/DROIT DE LA PROPRIETE LITTERAIRE/CODE DE LA PROPRIETE INTELLECTUELLE;;;;2011-12-16
Les congés liés à la santé et à la famille;;Ouvrage;DESCHAMPS Delphine;Voiron;Territorial Editions;2011;;;Français;Sp.;REPERES;N°6;252 DES;COLLECTIVITES TERRITORIALES/FONCTION PUBLIQUE TERRITORIALE/AGENT TERRITORIAL/CONGE/CONGE BONIFIE/CONGE LONGUE MALADIE/CONGE DE GRAVE MALADIE/CONGE DE PATERNITE/CONGE D'ADOPTION/CONGE PARENTAL/CONGE PAYE/CONGE DE FORMATION;;;;2017-06-02
Prévention et protection au travail;Structure du bien-être au travail dans les secteurs public et privé;Ouvrage;DECONYNCK Michèle/SIMON Virginie;Bruxelles;DE BOECK;2011;978-2-8044-3202-7;;Français;484 p.;Droit social;;1414 DEC;SOCIAL/TRAVAIL/DROIT SOCIAL/PROTECTION SOCIALE/PREVENTION/MEDECIN DU TRAVAIL/BIEN-ETRE;;;;2011-10-25
Demain, seuls au monde ?;L'homme sans la biodiversité;Ouvrage;GRUNDMANN Emmanuelle;Paris;Calmann-Lévy;2010;978-2-7021-3979-0;;Français;325 p.;;;1142 GRU/1142 RIC;SCIENCES HUMAINES/HOMME/ESSAI/BIODIVERSITE;;;;2011-09-22
Mémento de la jurisprudence;;Ouvrage;;Paris;Hachette;2010;978-2-01-14088-2;;Français;159 p.;LES FONDAMENTAUX;;22411 RIC;DROIT/DROIT ADMINISTRATIF/JURIDICTION ADMINISTRATIVE/JURISPRUDENCE ADMINISTRATIVE/DECISION ADMINISTRATIVE;;;;2011-09-22
L'essentiel de l'organisation administrative;;Ouvrage;ROUAULT Marie-Christine;Paris;Gualino;2011;978-2-297-01422-9;;Français;116 p.;LES CARRES;;22 ROU;ADMINISTRATION/ADMINISTRATION CENTRALE/ADMINISTRATION LOCALE/ADMINISTRATION TERRITORIALE/ORGANISATION ADMINISTRATIVE/DECENTRALISATION/ADMINISTRATION DECENTRALISEE/DROIT PUBLIC/AUTORITE ADMINISTRATIVE INDEPENDANTE/COLLECTIVITE D'OUTRE-MER/CORSE/REGION ILE DE FRANCE/PRINCIPE DE LIBRE ADMINISTRATION/COOPERATION/COOPERATION INTERCOMMUNALE/COOPERATION INTERDEPARTEMENTALE/CONCOURS ADMINISTRATIF;;;;2011-07-10
Le retour des villes européennes;Sociétés urbaines, mondialisation, gouvernement et gouvernance;Ouvrage;LE GALES Patrick;Paris;Presses de la Fondation Nationale des Sciences Politiques;2011;;;Français;486 p.;;;81 GAL;EUROPE/VILLE/GOUVERNANCE/POLITIQUE DE LA VILLE/CROISSANCE URBAINE/GOUVERNEMENT LOCAL/DEMOCRATIE LOCALE/CAPITALISME/URBANISME;;;;2011-07-07
Atlas régional  effectifs étudiants en 2009-2010;;Ouvrage;;Paris;Depp/DEV;2010;978-2-11-128194-3;;Français;195 p.;;;513 MIN;ENSEIGNEMENT SUPERIEUR/ETUDIANT/ATLAS/EFFECTIF/STATISTIQUE/FRANCE/REGION;;;;2011-05-25
Le plein contentieux devant les juridictions administratives;;Ouvrage;COSSALTER Patrice;Voiron;Territorial Editions;2009;978-2-35295-854-3;;Français;73 p.;L'ESSENTIEL SUR;;22411 COS;DROIT/JURIDICTION/JURIDICTION ADMINISTRATIVE/JURISPRUDENCE/JURISPRUDENCE ADMINISTRATIVE/QUESTIONS JURIDIQUES/CONTENTIEUX/CONTENTIEUX ADMINISTRATIF/PLEIN CONTENTIEUX/RECOURS/EXCES DE POUVOIR;;;;2011-07-04
Petit traité de la décroissance sereine;;Ouvrage;LATOUCHE Serge;Paris;Mille et une nuits;2007;978-2-475550-007-3;;Français;171 P.;;N° 7;41 LAT;ECONOMIE/CAPITALISME/DECROISSANCE ECONOMIQUE/TRAITE/CROISSANCE/CROISSANCE ECONOMIQUE/POLITIQUE DE CROISSANCE;;;;2011-01-03
L'eau;Pour une culture de la responsabilité;Ouvrage;FREROT Antoine;Paris;Autrement;2009;978-2-7467-1127-3;;Français;193 p.;Frontières;;322 FRE;EAU/EAU POTABLE/ASSAINISSEMENT/QUALITE DE L'EAU/POLLUTION/POLLUTION DE L'EAU/PRIX/RESSOURCES NATURELLES/REDEVANCE RESSOURCES EN EAU;;;;2011-01-17
Fiches concours 2010;;Ouvrage;;Paris;La Documentation française;2010;9-782110-0775383;;Français;222 p.;FORMATION ADMINISTRATION CONCOURS;;25 PAG;CONCOURS ADMINISTRATIF/CONCOURS/CULTURE GENERALE/DROIT PUBLIC/ECONOMIE/FINANCES PUBLIQUES/QUESTIONS SOCIALES/QUESTIONS EUROPENNES/ETAT/ORGANISATION ADMINISTRATIVE/FONCTION PUBLIQUE/GRANDES ECOLES;;;;2010-11-26
Tourisme médical;;Revue;Collectif;Paris;EDITIONS TOURISTIQUES EUROPEENNES;2010;;;Français;102 p.;CAHIER ESPACES;N°106;62 COL;TOURISME/TOURISME MEDICAL/SANTE/THERMALISME/TUNISIE/INDE/HONGRIE;;;;2010-10-19
La mobilité durable;Les aides au transports urbains;Ouvrage;CHRISTOPHE Jean-Claude;Voiron;Territorial Editions;2009;978-2-35295-831-4;;Français;75 p.;DOSSIER D'EXPERTS;;334 CHI;TRANSPORT/MOBILITE/MOBILITE DURABLE/TRANSPORT URBAIN/AIDE DE L'ETAT;;;;2010-03-08
Réussir sa démarche de marketing territorial;Méthodes, techniques et bonnes pratiques;Ouvrage;GOLLAIN Vincent;Voiron;Territorial Editions;2017;978-2-8186-1157-9;;Français;242 p.;DOSSIER D'EXPERTS;;750 GOL;COMMUNICATION/MARKETING/MARKETING LOCAL/MARKETING TERRITORIAL/INFORMATION/ETUDE DE MARCHE/MARCHE/STRATEGIE/PLAN D'ACTION;;;;2017-04-24
La gestion des crises sanitaires;;Revue;PERETTI-WATEL Patrick;Paris;La Documentation française;2010;;;Français;109 P.;PROBLEMES POLITIQUES ET SOCIAUX;N°971;64 PER;QUESTION SANITAIRE/CRISE SANITAIRE/GRIPPE ESPAGNOLE/PESTE/VACHE FOLLE/PRINCIPE DE PRECAUTION/GRIPPE H1N1/SANTE/POLITIQUE DE LA SANTE/RISQUE SANITAIRE/CRISE ECONOMIQUE/CRISE POLITIQUE/CRISE SOCIALE;;;;2010-01-07
Le retour du chômage de masse;;Article;Collectif;Paris;La Documentation française;2010;;3-303332-029952;Français;47 p.;;;141 COL;CHOMAGE/CRISE ECONOMIQUE/CRISE/POLITIQUE DE L'EMPLOI/ECONOMIE/EMPLOI/CHOMAGE DES JEUNES/EMPLOI DES SENIORS/MARCHE DU TRAVAIL/CROISSANCE ECONOMIQUE/CHOMEUR/RSA;;2995;;2010-06-17
Eléments de droit constitutionnel;;Ouvrage;BORELLA François;Paris;Sciences po, les presses;2008;;;Français;439 p.;Sciences Po. concours;;221 BOR;DROIT CONSTITUTIONNEL/HISTOIRE/CONSTITUTION/SOUVERAINETE NATIONALE/DEMOCRATIE/REGIME POLITIQUE;;;;2009-05-25
La crise;;Dossier;Collectif;Paris;Alternatives Economiques;2009;;;Français;176 p.;Alternatives Economiques;HORS-SERIE;42;CRISE/CRISE ECONOMIQUE/CRISE FINANCIERE/GESTION DE CRISE;;N°38;avr-09;2009-08-04
La nouvelle question scolaire;Les bénéfices de la démocratisation;Ouvrage;MAURIN Eric;Paris;SEUIL (Editions du);2007;;;Français;267 p;;;51 MAU;EDUCATION/DEMOCRATISATION/INEGALITE SOCIALE/ECONOMIE;;;;2008-05-29
Une Ve République plus démocratique;;Ouvrage;BALLADUR EDOUARD;Paris;La Documentation française;2007;;;Français;181 p;;;222 BAL;INSTITUTIONS/CINQUIEME REPUBLIQUE/DEMOCRATIE/FRANCE/POUVOIR EXECUTIF/PARLEMENT;;;;2008-02-15
Histoire d'une révolution managériale;Comment 170 000 salariés deviennent acteurs du changements de la SNCF;Ouvrage;FOURNIER-LAURENT Monique;PARIS;GROUPE EXPRESS éditions;2007;;;;269 p;;;1414 FOU;MANAGEMENT/SNCF/RESSOURCES HUMAINES/CHEMINOT/SYNDICAT/FORMATION/;;;;2007-10-12
Sociologie et antropologie de Marcel Mauss;;Ouvrage;TAROT CAMILLE;Paris;La découverte;2003;;;;128 p;;;01 TAR;SOCIOLOGIE/ANTROPOLOGIE/POLITIQUE/ECONOMIE/RELIGION/;;;;2010-06-04
Les services publics;;Revue;Collectif;PARIS;;2007;;;Français;87 p;;;2621 COL;SERVICE PUBLIC/DROIT COMMUNAUTAIRE/MUTATION ECONOMIQUE/MUTATION SOCIALE/TERRITOIRE/GOUVERNANCE LOCALE/MANAGEMENT/INDUSTRIE ENERGETIQUE/TELECOMMUNICATION/SERVICES POSTAUX/TRANSPORT/;;n°339;Juillet-août 2007;2007-11-19
Atlas des mobilités touristiques en France métropolitaine;;Ouvrage;POTIER Françoise/TERRIER Christophe;PARIS;Autrement/DIACT;2007;;;Français;112 p;Atlas. Monde;;620 ATL;TOURISME/ATLAS/CARTE/REGION/MOBILITE;;;;2007-10-22
La publicité autrement;;Ouvrage;DRU Jean-Marie;PARIS;Gallimard;2007;;;Français;231 p;Le Débat;;752 DRU;PUBLICITE/AGENCE DE PUBLICITE/MARQUE/PRODUIT/MEDIA/AGENCE/PUBLICITAIRE/CULTURE D'ENTREPRISE;;;;2007-10-17
Politique agricole commune (la);;Ouvrage;BUREAU Jean-Christophe;Paris;La Découverte;2007;978-2-7071-5017-2;;Français;;Repères;Economie;46  BUR;POLITIQUE AGRICOLE COMMUNE/PAC/EUROPE/AGRICULTURE/PAYS TIERS/ECONOMIE;;;;2018-07-24
Juridisque Lois et réglements -  de janvier 1980 à  septembre 2009;;CD;LAMY;Paris;LAMY;2009;;;Français;;;;;LOI/REGLEMENT;;;;2010-05-02
Juridisque Conseil d'Etat: Cours administratives d'appel et tribunal des conflits - de janvier 1980 à  septembre 2009;;CD;LAMY;Paris;LAMY;2009;;;Français;;juridisques Lamy;;;CONSEIL D'ETAT/COUR ADMINISTRATIVE D'APPEL/TRIBUNAL DES CONFLITS/JURISPRUDENCE/DROIT;;;;2010-05-02
Département administration territoriale de l'etat (le);;Revue;Collectif;;;2006;;;Français;130 p.;;;;ADMINISTRATEUR TERRITORIAL/LOLF/DCCRF/POLITIQUE DE L'EAU/DIREN/REFORME DE L'ETAT/MAINE ET LOIRE/ETAT;;n°212;déc-06;2007-12-06
Invention de la politique culturelle (l');;Ouvrage;URFALINO Philippe;Paris;Hachette;2004;;;Français;428 p.;Pluriel;;61 URF;POLITIQUE CULTURELLE/MAISON DE LA CULTURE/MINISTERE DE LA CULTURE;;;;2007-05-15
Unix;;Ouvrage;TAYLOR Dave;Paris;Campus Press;2003;;;;455 p.;Le tout en poche;;;SYSTEME INFORMATIQUE;;;;2006-08-25
Le modèle social français;;Dossier;TRONQUOY Philippe;Paris;Documentation Française (la);2006;;;;95 p.;Cahiers français;;14 TRO;ETAT-PROVIDENCE/PROTECTION SOCIALE/MODELE SOCIAL/MODELE ECONOMIQUE/DROIT DU TRAVAIL;;n°330;Janvier-Février;2006-12-19
La France face à la mondialisation;;Dossier;FOUGIER Eddy;Paris;Documentation Française (la);2006;;;;120 P.;;;;FRANCE/MONDIALISATION;;n°920;janv-06;2006-08-24
La face cachée du management;;Ouvrage;BOUAYAD Anis/KERORGUEN Yan De;Paris;DUNOD;2004;;;;252 p.;;;141 KER/141 KER-1;MANAGEMENT;;;;2006-05-07
Partenariats public-privé;;Ouvrage;LIGNIERES PAUL;Paris;LITEC;2005;;;;440 p.;Affaires Finances;;2612 LIG;CONTRAT DE PARTENARIAT/MONTAGE CONTRACTUEL/FINANCEMENT DE PROJET/REFORME DE L'ETAT/DROIT PUBLIC DES AFFAIRES//PARTENARIAT PUBLIC PRIVE//FINANCES PUBLIQUES;;;;2006-06-30
L'essentiel du droit constitutionnel;2/ Les institutions de la Ve République;Ouvrage;CHAMPAGNE Gilles;Paris;Gualino;2016;978-2-297-05418-8;;;192 p.;Les Carrés;;221 CHA;ADMINISTRATION/DROIT CONSTITUTIONNEL/ETAT/CONSTITUTION/PRESIDENT DE LA REPUBLIQUE/GOUVERNEMENT/PARLEMENT/CONSEIL CONSTITUTIONNEL/CINQUIEME REPUBLIQUE/DEPUTE/SENATEUR/LOI/REGLEMENT/CONTROLE DE LA CONSTITUTIONNALITE/CONSTITUTIONNALITE/QUESTION DE CONFIANCE;;;;2017-01-24
Le développement durable;;OUVRAGE;BRUNEL SYLVIE;Paris;PUF;2004;;;;127 p.;Que Sais-je ?;No 3719;327 BRU;ENVIRONNEMENT/ECOLOGIE/HISTORIQUE/AIDE AU DEVELOPPEMENT/COOPERATION INTERNATIONALE/CLIMAT/CROISSANCE ECONOMIQUE/PAUVRETE/RELATIONS NORD SUD/RELATIONS INTERNATIONALES/DEVELOPPEMENT DURABLE/CONFERENCE DE RIO/PERMIS NEGOCIABLE/GOUVERNANCE/CONFERENCE DE JOHANNESBURG/CONFERENCE DE KYOTO/AGENDA 21/RAPPORT BRUNTLAND;;;;2005-07-10
Annales corrigées rédacteur territorialrédacteur principal de 2e classeconcours interne et 3e concourscatégorie Bconcours 2017;;Ouvrage;DALENS Marc;Paris;Groupe Studyrama;2016;978-2-7590-3268-6;;;254 p.;CIBLE CONCOURS;;252 DAL;ADMINISTRATION/COLLECTIVITES TERRITORIALES/FONCTION PUBLIQUE TERRITORIALE/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE B/REDACTEUR TERRITORIAL;;;;2016-10-11
Après la COP21;Géopolitiques de la transition énergétique;Ouvrage;MAFFEI Benoît/GREGGIO Rodolphe;Paris;Editions TECHNIP;2016;978-2-7108-1174-9;;;355 p.;;;431 MAF;ENVIRONNEMENT/TRANSITION ENERGETIQUE/COP21/ENERGIE/PETROLE/CHARBON/GAZ/ENERGIE RENOUVELABLE/SOURCES D'ENERGIE/ECOLOGIE;;;;2016-04-08
Penser l'évaluation des politiques publiques;;Ouvrage;;Paris;DE BOECK;2016;978-2-8073-0207-5;;;219 p.;METHODES EN SCIENCES HUMAINES;;263 ALB;INSTITUTIONS/INSTITUTIONS POLITIQUES/POLITIQUE/POLITIQUE PUBLIQUE/EVALUATION/EVALUATION POLITIQUE/CONTROLE/OUTIL DE CONTROLE;;;;2016-07-21
La construction politique du prix de l'énergie;;Ouvrage;REVERDY Thomas;Paris;Sciences po, les presses;2014;978-2-7246-1560-9;;;319 p.;GOUVERNANCES;;431 REV;ECONOMIE/ENERGIE/POLITIQUE DE L'ENERGIE/ELECTRICITE/MARCHE DE L'ENERGIE/PRIX DE L'ENERGIE;;;;2016-10-06
Surprendre en formation : 45 outils ludopédagogiques;Donner envie d'apprendre;Ouvrage;BEAUFORT Thierry;Issy-Les-Moulineaux;ESF;2015;978-2-7101-2716-1;;;249 p.;FORMATION PERMANENTE;;1414 BEA;RESSOURCES HUMAINES/FORMATION/PEDAGOGIE/DEVELOPPEMENT PERSONNEL/CONNAISSANCE DE SOI/MANAGEMENT/CREATIVITE/SAVOIR APPRENDRE/SAVOIR-FAIRE/APPRENDRE/FORMATEUR/ENSEIGNANT-FORMATEUR;;;;2016-07-06
Le transport aérien;Une mondialisation réussie;Dossier;Collectif;Paris;La Documentation française;2016;;1761-7146;;p.2-103;QUESTIONS INTERNATIONALES;;335 COL;AMENAGEMENT DU TERRITOIRE/INFRASTRUCTURES/INFRASTRUCTURES DE TRANSPORT/ECONOMIE DU TRANSPORT/TRANSPORT AERIEN/AVIATION CIVILE/AEROPORT/COMPAGNIE AERIENNE/MONDIALISATION/TRANSPORT DE MARCHANDISES/FRET AERIEN/TRANSPORT DE VOYAGEURS;;N°78;Mars-avril 2016;2016-03-14
La biodiversité ?;Comprendre vite et mieux;Ouvrage;BARNEOUD Lise;Paris;Belin;2013;978-2-7011-5692-7;;;79 p.;INFOGRAPHIE;;1142 BAR;GEOGRAPHIE/FAUNE/BIODIVERSITE/NATURE/BIOMETISME/ECOSYSTEME;;;;2016-05-02
Guide des relations entre collectivités locales et associations;Pièges et solutions;Ouvrage;LANDOT Eric;Voiron;Territorial Editions;2015;978-2-8186-0798-5;;;80 p.;DOSSIER D'EXPERTS;;146 LAN;SOCIETE/VIE SOCIALE/ASSOCIATION/RELATIONS COLLECTIVITE LOCALE ASSOCIATION/TRANSPARENCE/GESTION DE FAIT/DROIT DES ASSOCIATIONS/INTERET LOCAL/ASSOCIATION CULTUELLE/ASSOCIATION D'ELUS/LOCAL COMMUNAL/MISE A DISPOSITION;;;;2015-07-31
J'ai un métier !;;Ouvrage;MILLANVOYE Julien;Paris;Globe;2013;978-2-211-20825-3;;;147 P.;;;53 MIL;FORMATION/APPRENTISSAGE/METIER/OLYMPIADES DES METIERS;;;;2017-05-09
Droit de la fonction publique;Etat, Collectivités locales, Hôpitaux, Statuts autonomes;Ouvrage;TAILLEFAIT Antony;Paris;DALLOZ;2018;978-2-247-16269-7;;;931 p..;PRECIS;;25 TAI;ADMINISTRATION/DROIT DE LA FONCTION PUBLIQUE/FONCTION PUBLIQUE/FONCTION PUBLIQUE D'ETAT/FONCTION PUBLIQUE HOSPITALIERE/FONCTION PUBLIQUE TERRITORIALE/STATUT AUTONOME/MILITAIRE/FONCTIONNAIRE;;;;2018-05-12
La France en partage;;Ouvrage;MEMMI Max;Paris;L'Harmattan;2015;978-2-343-05600-5;;;299 P.;QUESTIONS CONTEMPORAINES;;1 MEM;SOCIETE/QUESTIONS DE SOCIETE/QUESTIONS SOCIALES/POLITIQUE/GEOGRAPHIE/GEOGRAPHIE POLITIQUE/GEOGRAPHIE SOCIALE/SCIENCES HUMAINES;;;;2015-07-09
L'éducation populaire;Une méthode, douze entrées pour tenir ouvertes les portes du futur;Ouvrage;HEBER-SUFFRIN Claire;Lyon;Chronique sociale;2014;978-2-367-17070-1;;;111 p.;;;511 HEB;EDUCATION/EDUCATION POPULAIRE/ENSEIGNEMENT/SYSTEME SOCIAL/SYSTEME EDUCATIF/DEMOCRATISATION/LAICITE/INSTRUCTION/SOCIALISATION/CITOYENNETE/SAVOIR/CONNAISSANCE/APPRENDRE/SAVOIR APPRENDRE;;;;2015-02-06
Science économique : le triomphe de la french touch;"Jean Tirole, ""prix Nobel"" d'économie 2014";Dossier;Collectif;Paris;La Documentation française;2015;;0032-9304;;P.5-42;;;44 COL;ECONOMIE/ECONOMIE FRANCAISE/ECONOMISTE/PRIX NOBEL/TIROLE JEAN/RECHERCHE/ENSEIGNANT-CHERCHEUR/SCIENCE ECONOMIQUE/LABORATOIRE DE RECHERCHE/PENSEE ECONOMIQUE/PIKETTY Thomas;;N°3111;mai-15;2015-12-05
Les inégalités;Un phénomène à plusieurs dimensions;Dossier;Collectif;Paris;La Documentation française;2015;;0008-0217;;p.1-79;CAHIERS FRANCAIS;N°386;144 COL;SOCIETE/VIE SOCIALE/LIBERTE/EGALITE/INEGALITE SOCIALE/INEGALITE DES CHANCES/INEGALITE DE REVENU/INEGALITE DE RICHESSE/INEGALITE TERRITORIALE/INEGALITE DE SANTE/INEGALITE PROFESSIONNELLE/INEGALITE CULTURELLE/IMMIGRATION/IMMIGRE/GENERATION/GENERATION SOCIALE/ECOLE/FEMME/HOMME;;N°386;Mai-juin 2015;2015-11-05
L'atlas 2015 des enjeux maritimes;;Ouvrage;;Rennes;Le Marin;2014;;1149-9877;;136 p.;Hors-série;;332 COL;ECONOMIE/ECONOMIE MARITIME/MER/ATLAS/GAZ/ENERGIE OFFSHORE/INDUSTRIE PARAPETROLIERE OFFSHORE/PORT MARITIME/PORT DE COMMERCE/CONSTRUCTION NAVALE/PECHE/PECHE MARITIME/AQUACULTURE/FLOTTE MARITIME/FLOTTE DE COMMERCE/CHARBON/FER/CHINE/CROISIERE/FLOTTE DE CROISIERE/MARINE DE GUERRE;;;;2016-04-03
